Internal ID,External ID,Source
rxn00461,UAGCVT,BiGG
rxn00463,NTPP8,BiGG
rxn00470,ORNDC,BiGG
rxn00473,TRPAS2,BiGG
rxn00474,TRPS2,BiGG
rxn00478,TRPO2,BiGG
rxn00478,YJR078W,BiGG
rxn00483,TRPTA,BiGG
rxn00493,ARO9_1,BiGG
rxn00493,PHETA1,BiGG
rxn00495,PHEAL,BiGG
rxn00497,PHYCBOXL,BiGG
rxn00498,ERG9_1,BiGG
rxn00499,LDH_L,BiGG
rxn00500,LDH_D,BiGG
rxn00500,LDH_Dir,BiGG
rxn00501,MMSAD3,BiGG
rxn00503,P5CD,BiGG
rxn00503,P5CDm,BiGG
rxn00503,U41,BiGG
rxn00505,ICDHxi,BiGG
rxn00505,ICDHxm,BiGG
rxn00505,IDH1,BiGG
rxn00506,ALD2,BiGG
rxn00506,ALD3,BiGG
rxn00506,ALD4_1,BiGG
rxn00506,ALDD2x,BiGG
rxn00506,ALDD2xm,BiGG
rxn00506,ALDD2xr,BiGG
rxn00507,ALD4_2,BiGG
rxn00507,ALD5_1,BiGG
rxn00507,ALD6,BiGG
rxn00507,ALDD2y,BiGG
rxn00507,ALDD2ym,BiGG
rxn00508,SSALx,BiGG
rxn00509,SSALy,BiGG
rxn00509,SSALyr,BiGG
rxn00509,YBR006W,BiGG
rxn00510,LYS1,BiGG
rxn00510,SACCD2,BiGG
rxn00512,GLYCLTDx,BiGG
rxn00512,GLYCLTDxr,BiGG
rxn00513,NTP10,BiGG
rxn00514,ITPASE2,BiGG
rxn00514,NTPP9,BiGG
rxn00515,NDPK9,BiGG
rxn00515,YNK1_9,BiGG
rxn00527,AAT1_2,BiGG
rxn00527,AAT2_2,BiGG
rxn00527,ARO8,BiGG
rxn00527,ARO9_2,BiGG
rxn00527,TYRTA,BiGG
rxn00527,TYRTAi,BiGG
rxn00527,TYRTAim,BiGG
rxn00527,TYRTAip,BiGG
rxn00527,TYRTAm,BiGG
rxn00527,TYRTAp,BiGG
rxn00533,ACC1,BiGG
rxn00533,ACCOAC,BiGG
rxn00533,ACCOACr,BiGG
rxn00533,ACCOACrm,BiGG
rxn00536,ALCD2,BiGG
rxn00536,ALCD2y,BiGG
rxn00537,PALDP,BiGG
rxn00537,PPACAH,BiGG
rxn00539,ETHAAL,BiGG
rxn00540,HOPNTAL,BiGG
rxn00540,HOPNTAL3,BiGG
rxn00541,GLY1,BiGG
rxn00541,THRA,BiGG
rxn00541,THRA2,BiGG
rxn00541,THRAi,BiGG
rxn00541,THRAr,BiGG
rxn00543,ADH1,BiGG
rxn00543,ADH2,BiGG
rxn00543,ADH3,BiGG
