#source,ID
bigg.reaction:GGH_10FTHF7GLUl,MNXR100119
bigg.reaction:R_GGH_10FTHF7GLUe,MNXR100119
bigg.reaction:R_GGH_10FTHF7GLUl,MNXR100119
bigg.reaction:GGH_5DHFe,MNXR100120
bigg.reaction:GGH_5DHFl,MNXR100120
bigg.reaction:R_GGH_5DHFe,MNXR100120
bigg.reaction:R_GGH_5DHFl,MNXR100120
bigg.reaction:GGH_5THFe,MNXR100121
bigg.reaction:GGH_5THFl,MNXR100121
bigg.reaction:R_GGH_5THFe,MNXR100121
bigg.reaction:R_GGH_5THFl,MNXR100121
bigg.reaction:GGH_6DHFe,MNXR100122
bigg.reaction:GGH_6DHFl,MNXR100122
bigg.reaction:R_GGH_6DHFe,MNXR100122
bigg.reaction:R_GGH_6DHFl,MNXR100122
bigg.reaction:GGH_6THFe,MNXR100123
bigg.reaction:GGH_6THFl,MNXR100123
bigg.reaction:R_GGH_6THFe,MNXR100123
bigg.reaction:R_GGH_6THFl,MNXR100123
bigg.reaction:GGH_7DHFe,MNXR100124
bigg.reaction:GGH_7DHFl,MNXR100124
bigg.reaction:R_GGH_7DHFe,MNXR100124
bigg.reaction:R_GGH_7DHFl,MNXR100124
bigg.reaction:GGH_7THFe,MNXR100125
bigg.reaction:GGH_7THFl,MNXR100125
bigg.reaction:R_GGH_7THFe,MNXR100125
bigg.reaction:R_GGH_7THFl,MNXR100125
bigg.reaction:GGPP,MNXR100129
bigg.reaction:R_GGPP,MNXR100129
bigg.reaction:GGT,MNXR100133
bigg.reaction:R_GGT,MNXR100133
bigg.reaction:GGT5r,MNXR100134
bigg.reaction:R_GGT5r,MNXR100134
bigg.reaction:R_r0641,MNXR100134
bigg.reaction:r0641,MNXR100134
bigg.reaction:GGT6,MNXR100135
bigg.reaction:R_GGT6,MNXR100135
bigg.reaction:GGTAe2,MNXR100136
bigg.reaction:GTHRDH_syn,MNXR100136
bigg.reaction:GTHRDHpp,MNXR100136
bigg.reaction:R_GGTAe2,MNXR100136
bigg.reaction:R_GTHRDH_syn,MNXR100136
bigg.reaction:R_GTHRDHpp,MNXR100136
bigg.reaction:GHMT3,MNXR100143
bigg.reaction:GHMT3m,MNXR100143
bigg.reaction:HTMLA_m,MNXR100143
bigg.reaction:R_GHMT3,MNXR100143
bigg.reaction:R_GHMT3m,MNXR100143
bigg.reaction:R_HTMLA_m,MNXR100143
bigg.reaction:GLA,MNXR100147
bigg.reaction:R_GLA,MNXR100147
bigg.reaction:GLACter,MNXR100149
bigg.reaction:R_GLACter,MNXR100149
bigg.reaction:GLAl,MNXR100150
bigg.reaction:R_GLAl,MNXR100150
bigg.reaction:GLAl_cho,MNXR100151
bigg.reaction:R_GLAl_cho,MNXR100151
bigg.reaction:BGAL1e,MNXR100152
bigg.reaction:GLB1,MNXR100152
bigg.reaction:R_BGAL1e,MNXR100152
bigg.reaction:R_GLB1,MNXR100152
bigg.reaction:GLB1_cho,MNXR100153
bigg.reaction:R_GLB1_cho,MNXR100153
bigg.reaction:GLBRAN,MNXR100154
bigg.reaction:R_GLBRAN,MNXR100154
bigg.reaction:GLCAASE1ly,MNXR100156
bigg.reaction:R_GLCAASE1ly,MNXR100156
bigg.reaction:GLCAASE3,MNXR100157
bigg.reaction:R_GLCAASE3,MNXR100157
bigg.reaction:GLCAASE4ly,MNXR100158
bigg.reaction:R_GLCAASE4ly,MNXR100158
bigg.reaction:GLCAASE5ly,MNXR100159
bigg.reaction:R_GLCAASE5ly,MNXR100159
bigg.reaction:GLCAASE6ly,MNXR100160
bigg.reaction:R_GLCAASE6ly,MNXR100160
bigg.reaction:GLCAASE7ly,MNXR100161
bigg.reaction:R_GLCAASE7ly,MNXR100161
bigg.reaction:GLCAASE8ly,MNXR100162
bigg.reaction:R_GLCAASE8ly,MNXR100162
bigg.reaction:GLCAASE9ly,MNXR100163
bigg.reaction:R_GLCAASE9ly,MNXR100163
bigg.reaction:GLCAE1g,MNXR100164
bigg.reaction:R_GLCAE1g,MNXR100164
bigg.reaction:GLCAE2g,MNXR100165
bigg.reaction:R_GLCAE2g,MNXR100165
bigg.reaction:GLCAT2g,MNXR100166
bigg.reaction:R_GLCAT2g,MNXR100166
bigg.reaction:GLCAT3g,MNXR100167
bigg.reaction:R_GLCAT3g,MNXR100167
bigg.reaction:GLCAT4g,MNXR100168
bigg.reaction:R_GLCAT4g,MNXR100168
bigg.reaction:GLCAT5g,MNXR100169
bigg.reaction:R_GLCAT5g,MNXR100169
bigg.reaction:GLCAT6g,MNXR100170
bigg.reaction:R_GLCAT6g,MNXR100170
bigg.reaction:GLCAT7g,MNXR100171
bigg.reaction:R_GLCAT7g,MNXR100171
bigg.reaction:GLCAT8g,MNXR100172
bigg.reaction:R_GLCAT8g,MNXR100172
bigg.reaction:GLCAT9g,MNXR100173
bigg.reaction:R_GLCAT9g,MNXR100173
bigg.reaction:GLCATg,MNXR100174
bigg.reaction:R_GLCATg,MNXR100174
bigg.reaction:GLCATg_cho,MNXR100175
bigg.reaction:R_GLCATg_cho,MNXR100175
bigg.reaction:GLCDe,MNXR100177
bigg.reaction:GLCDpp,MNXR100177
bigg.reaction:R_GLCDe,MNXR100177
bigg.reaction:R_GLCDpp,MNXR100177
bigg.reaction:GLCGLYCabcpp_syn,MNXR100178
bigg.reaction:R_GLCGLYCabcpp_syn,MNXR100178
bigg.reaction:EX_glcglyc_e,MNXR100179
bigg.reaction:GLCGLYCtex,MNXR100179
bigg.reaction:R_EX_glcglyc_e,MNXR100179
bigg.reaction:R_GLCGLYCtex,MNXR100179
bigg.reaction:GLCMAN4,MNXR100181
bigg.reaction:R_GLCMAN4,MNXR100181
bigg.reaction:GLCMAN4abc,MNXR100182
bigg.reaction:R_GLCMAN4abc,MNXR100182
bigg.reaction:GLCMAN6,MNXR100183
bigg.reaction:R_GLCMAN6,MNXR100183
bigg.reaction:GLCMAN600a_e,MNXR100184
bigg.reaction:R_GLCMAN600a_e,MNXR100184
bigg.reaction:GLCMAN600b_e,MNXR100185
bigg.reaction:R_GLCMAN600b_e,MNXR100185
bigg.reaction:GLCMAN600c_e,MNXR100186
bigg.reaction:R_GLCMAN600c_e,MNXR100186
bigg.reaction:GLCMAN6abc,MNXR100187
bigg.reaction:R_GLCMAN6abc,MNXR100187
bigg.reaction:GLCNACASE1ly,MNXR100189
bigg.reaction:R_GLCNACASE1ly,MNXR100189
bigg.reaction:GLCNACASE2ly,MNXR100190
