Internal ID,External ID,Source
MNXM1091940,44dpc,BiGG
MNXM1091941,44dpnp,BiGG
MNXM1091942,44dpnsp,BiGG
MNXM1091943,44dpnspo,BiGG
MNXM1091944,44dpptf,BiGG
MNXM1091945,46dd4odtdpglc,BiGG
MNXM1091946,49dsha,BiGG
MNXM1091947,4a2mpmpmd,BiGG
MNXM1091948,4a_hthptn,BiGG
MNXM1091949,4aammp,BiGG
MNXM1091950,4abzglu,BiGG
MNXM1091951,4atb2coa,BiGG
MNXM1091952,4atbcoa,BiGG
MNXM1091953,4cnbt,BiGG
MNXM1091954,4h2oxg,BiGG
MNXM1091955,4hadnt,BiGG
MNXM1091956,4hmsial,BiGG
MNXM1091957,4hpro_DC,BiGG
MNXM1091958,4hptcoa,BiGG
MNXM1091959,4hptn,BiGG
MNXM1091960,4hthdp,BiGG
MNXM1091961,4hvcoa,BiGG
MNXM1091962,4m3hhexACP,BiGG
MNXM1091963,4m3hpAPC,BiGG
MNXM1091964,4m3ohexACP,BiGG
MNXM1091965,4m3opACP,BiGG
MNXM1091966,4methex2eACP,BiGG
MNXM1091967,4methexACP,BiGG
MNXM1091968,4mpACP,BiGG
MNXM1091969,4mtpACP,BiGG
MNXM1091970,4nphp,BiGG
MNXM1091971,4opa,BiGG
MNXM1091972,4opcoa,BiGG
MNXM1091973,4oxptcoa,BiGG
MNXM1091974,4oxptn,BiGG
MNXM1091975,4pen,BiGG
MNXM1091976,4poptcoa,BiGG
MNXM1091977,4pqq,BiGG
MNXM1091978,4pvcoa,BiGG
MNXM1091979,56dhpvs,BiGG
MNXM1091980,5a4icam,BiGG
MNXM1091981,5ca1rpi,BiGG
MNXM1091982,5fothf,BiGG
MNXM1091982,5fthf,BiGG
MNXM1091983,5g2op,BiGG
MNXM1091984,5m3hACP,BiGG
MNXM1091985,5m3hhACP,BiGG
MNXM1091986,5mhACP,BiGG
MNXM1091987,5mthf5glu,BiGG
MNXM1091988,5mti,BiGG
MNXM1091989,5ohhip,BiGG
MNXM1091990,5ohhipcoa,BiGG
MNXM1091991,5phdt,BiGG
MNXM1091992,5phua,BiGG
MNXM1091993,6ahglz,BiGG
MNXM1091994,6ath2coa,BiGG
MNXM1091995,6atha,BiGG
MNXM1091996,6athcoa,BiGG
MNXM1091997,6cthydptn,BiGG
MNXM1091998,6epvs,BiGG
MNXM1091999,6m3hhACP,BiGG
MNXM1092,udpgalur,BiGG
MNXM1092000,6m3hoACP,BiGG
MNXM1092001,6m3oACP,BiGG
MNXM1092002,6m3ohACP,BiGG
MNXM1092003,6mhACP,BiGG
MNXM1092004,6moACP,BiGG
MNXM1092005,6mth2eACP,BiGG
MNXM1092006,6mto2eACP,BiGG
MNXM1092007,78dhptn,BiGG
MNXM1092008,7ahglz,BiGG
MNXM1092009,7am7dgtrna,BiGG
MNXM1092010,7dhcdchol,BiGG
MNXM1092011,7dhchol,BiGG
MNXM1092012,7m3hoACP,BiGG
MNXM1092013,7me3oxoacp,BiGG
MNXM1092014,7moACP,BiGG
MNXM1092015,7mto2eACP,BiGG
MNXM1092016,8m3hdACP,BiGG
MNXM1092017,8m3hnACP,BiGG
MNXM1092018,8m3odACP,BiGG
MNXM1092019,8m3oxACP,BiGG
MNXM1092020,8mcACP,BiGG
MNXM1092021,8mdACP,BiGG
MNXM1092022,8mtd2eACP,BiGG
MNXM1092023,8mtn2eACP,BiGG
MNXM1092024,8oxdgmp,BiGG
MNXM1092025,8oxdgtp,BiGG
MNXM1092026,8oxgtp,BiGG
MNXM1092027,9m3hdACP,BiGG
MNXM1092028,9m3odACP,BiGG
MNXM1092029,9mdACP,BiGG
MNXM1092030,9mtd2eACP,BiGG
MNXM1092031,9ohadd,BiGG
MNXM1092032,ACP_2,BiGG
MNXM1092033,AppppA,BiGG
MNXM1092034,C100aPHA,BiGG
MNXM1092035,C100pPHA,BiGG
MNXM1092036,C101PAH,BiGG
MNXM1092037,C120aPHA,BiGG
MNXM1092038,C121aPHA,BiGG
MNXM1092039,C121d6PHA,BiGG
MNXM1092040,C140aPHA,BiGG
MNXM1092041,C141aPHA,BiGG
MNXM1092042,C141d5PHA,BiGG
MNXM1092043,C142PHA,BiGG
MNXM1092044,C40aPHA,BiGG
MNXM1092045,C40atPHA,BiGG
MNXM1092046,C40pPHA,BiGG
MNXM1092047,C50aPHA,BiGG
MNXM1092048,C50pPHA,BiGG
MNXM1092049,C60aPHA,BiGG
MNXM1092050,C60atPHA,BiGG
MNXM1092051,C60pPHA,BiGG
MNXM1092052,C70aPHA,BiGG
MNXM1092053,C70pPHA,BiGG
MNXM1092054,C80aPHA,BiGG
MNXM1092055,C80pPHA,BiGG
MNXM1092056,C90aPHA,BiGG
MNXM1092057,C90pPHA,BiGG
MNXM1092058,CDPdag_LM,BiGG
MNXM1092059,CE5116,BiGG
MNXM1092060,CELLWALL,BiGG
MNXM1092061,CLP,BiGG
MNXM1092062,CPS_LLA,BiGG
MNXM1092063,DMino14bp,BiGG
MNXM1092064,DNA,BiGG
MNXM1092065,DNA_LLA,BiGG
MNXM1092066,HC00005,BiGG
MNXM1092067,HC00006,BiGG
MNXM1092068,HC00007,BiGG
MNXM1092069,HC00008,BiGG
MNXM1092070,HC00009,BiGG
MNXM1092071,HC00617,BiGG
MNXM1092072,HC00619,BiGG
MNXM1092073,HC02048,BiGG
MNXM1092074,HC10784,BiGG
MNXM1092075,Hb,BiGG
MNXM1092076,LAM,BiGG
MNXM1092077,LIPID,BiGG
MNXM1092078,LM,BiGG
MNXM1092079,LPS11_ST,BiGG
MNXM1092080,LPS11_VL,BiGG
MNXM1092081,LPS11__L,BiGG
MNXM1092082,LPS13_ST,BiGG
MNXM1092083,LPS13_VL,BiGG
MNXM1092084,LPS13__L,BiGG
MNXM1092085,LPS16_ST,BiGG
MNXM1092086,LPS16_VL,BiGG
MNXM1092087,LPS16__L,BiGG
MNXM1092088,LPS17_ST,BiGG
MNXM1092089,LPS17_VL,BiGG
MNXM1092090,LPS17__L,BiGG
