#source,ID
bigg.metabolite:3oxocacp,MNXM1091930
bigg.metabolite:3oxocdacp,MNXM1091931
bigg.metabolite:3oxptcoa,MNXM1091932
bigg.metabolite:3oxtdACP,MNXM1091933
bigg.metabolite:3oxtdacp,MNXM1091934
bigg.metabolite:3pqq,MNXM1091935
bigg.metabolite:3ptcoa,MNXM1091936
bigg.metabolite:3tetd7ecoacrn,MNXM1091937
bigg.metabolite:3thexddcoacrn,MNXM1091938
bigg.metabolite:3ttetddcoacrn,MNXM1091939
bigg.metabolite:44dpc,MNXM1091940
bigg.metabolite:44dpnp,MNXM1091941
bigg.metabolite:44dpnsp,MNXM1091942
bigg.metabolite:44dpnspo,MNXM1091943
bigg.metabolite:44dpptf,MNXM1091944
bigg.metabolite:46dd4odtdpglc,MNXM1091945
bigg.metabolite:49dsha,MNXM1091946
bigg.metabolite:4a2mpmpmd,MNXM1091947
bigg.metabolite:4a_hthptn,MNXM1091948
bigg.metabolite:4aammp,MNXM1091949
bigg.metabolite:4abzglu,MNXM1091950
bigg.metabolite:4atb2coa,MNXM1091951
bigg.metabolite:4atbcoa,MNXM1091952
bigg.metabolite:4cnbt,MNXM1091953
bigg.metabolite:4h2oxg,MNXM1091954
bigg.metabolite:4hadnt,MNXM1091955
bigg.metabolite:4hmsial,MNXM1091956
bigg.metabolite:4hpro_DC,MNXM1091957
bigg.metabolite:4hptcoa,MNXM1091958
bigg.metabolite:4hptn,MNXM1091959
bigg.metabolite:4hthdp,MNXM1091960
bigg.metabolite:4hvcoa,MNXM1091961
bigg.metabolite:4m3hhexACP,MNXM1091962
bigg.metabolite:4m3hpAPC,MNXM1091963
bigg.metabolite:4m3ohexACP,MNXM1091964
bigg.metabolite:4m3opACP,MNXM1091965
bigg.metabolite:4methex2eACP,MNXM1091966
bigg.metabolite:4methexACP,MNXM1091967
bigg.metabolite:4mpACP,MNXM1091968
bigg.metabolite:4mtpACP,MNXM1091969
bigg.metabolite:4nphp,MNXM1091970
bigg.metabolite:4opa,MNXM1091971
bigg.metabolite:4opcoa,MNXM1091972
bigg.metabolite:4oxptcoa,MNXM1091973
bigg.metabolite:4oxptn,MNXM1091974
bigg.metabolite:4pen,MNXM1091975
bigg.metabolite:4poptcoa,MNXM1091976
bigg.metabolite:4pqq,MNXM1091977
bigg.metabolite:4pvcoa,MNXM1091978
bigg.metabolite:56dhpvs,MNXM1091979
bigg.metabolite:5a4icam,MNXM1091980
bigg.metabolite:5ca1rpi,MNXM1091981
bigg.metabolite:5fothf,MNXM1091982
bigg.metabolite:5fthf,MNXM1091982
bigg.metabolite:5g2op,MNXM1091983
bigg.metabolite:5m3hACP,MNXM1091984
bigg.metabolite:5m3hhACP,MNXM1091985
bigg.metabolite:5mhACP,MNXM1091986
bigg.metabolite:5mthf5glu,MNXM1091987
